Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
barbasol,D439 Mens Shaving Equipment & Supplies General Promotion,,,,1:00,,,,https://barbasol.com/,
bevel,D439 Mens Shaving Equipment & Supplies General Promotion,,,,7:00,,,,https://getbevel.com/,
aleve,D511 Pain Remedies,,,,2:03,,,,https://www.aleve.com/,
tylenol,D511 Pain Remedies,,,,4:02,,,,https://www.tylenol.com/,
advil,D511 Pain Remedies,,,,2:02,,,,https://www.advil.com/,
bc,D511 Pain Remedies,,,,3:04,,,,https://www.bcpowder.com/,
excedrin,D511 Pain Remedies,,,,1:01,,,,https://www.excedrin.com/,
motrin,D511 Pain Remedies,,,,0:02,,,,https://www.motrin.com/,
biofreeze,D511 Pain Remedies,,,,2:03,,,,https://www.biofreeze.com/,
anacin,D511 Pain Remedies,,,,1:02,,,,https://www.anacin.com/,
goodys,D511 Pain Remedies,,,,5:03,,,,https://www.goodyspowder.com/,
pfizer,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,4:03,,,,https://www.pfizer.com/,
vicks,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,1:01,,,,https://vicks.com/en-us,
robitussin,"D529 Cold, Cough, Sinus & Asthma Remdies:Comb & NEC",,,,2:05,,,,https://www.robitussin.com/,
gatorade,D543 Nutritional Supplements,,,,2:00,,,,https://www.gatorade.com/,
scitec,D543 Nutritional Supplements,,,,6:04,,,,https://www.scitecnutrition.com/en,
kion,D543 Nutritional Supplements,,,,3:01,,,,https://getkion.com/,
ascent,D543 Nutritional Supplements,,,,4:00,,,,https://www.ascentprotein.com/,
atkins,D543 Nutritional Supplements,,,,5:03,,,,https://www.atkins.com/?bypassgeoip=1,
weider,D543 Nutritional Supplements,,,,0:02,,,,https://www.weider.com/,
epicor,D543 Nutritional Supplements,,,,3:02,,,,https://www.epicorimmune.com/,
mhp,D543 Nutritional Supplements,,,,1:00,,,,https://mhpstrong.com/,
probiogen,D543 Nutritional Supplements,,,,3:04,,,,https://probiogen.com/,
biocell,D543 Nutritional Supplements,,,,0:02,,,,https://www.biocelltechnology.com/,
limitless,D543 Nutritional Supplements,,,,2:00,,,,https://limitlessnutritioninc.com/,
evogen,D543 Nutritional Supplements,,,,5:01,,,,https://www.evogennutrition.com/,
pritikin,D543 Nutritional Supplements,,,,6:08,,,,https://www.pritikin.com/,
staunch,D543 Nutritional Supplements,,,,1:00,,,,https://staunchnation.com/,
gnc,D543 Nutritional Supplements,,,,3:02,,,,https://www.gnc.com/,
soylent,D543 Nutritional Supplements,,,,2:01,,,,https://soylent.com/,
prinova,D543 Nutritional Supplements,,,,4:06,,,,https://www.prinovausa.com/,
musclepharm,D543 Nutritional Supplements,,,,4:02,,,,https://musclepharm.com/,
hylands,D543 Nutritional Supplements,,,,2:03,,,,https://www.hylands.com/,
align,D543 Nutritional Supplements,,,,3:03,,,,https://www.alignprobiotics.com/en-us,
amway,D543 Nutritional Supplements,,,,0:02,,,,https://www.amway.com/,
juven,D543 Nutritional Supplements,,,,2:03,,,,https://juven.com/,
muscletech,D543 Nutritional Supplements,,,,1:01,,,,https://www.muscletech.ca/,
performax,D543 Nutritional Supplements,,,,2:02,,,,https://performaxlabs.com/,
neocell,D543 Nutritional Supplements,,,,0:06,,,,https://www.neocell.com/,
dymatize,D543 Nutritional Supplements,,,,3:03,,,,https://www.dymatize.com/ca/,
mri,D543 Nutritional Supplements,,,,6:00,,,,https://mri-performance.com/,
florastor,D543 Nutritional Supplements,,,,1:06,,,,https://florastor.com/,
nutrex,D543 Nutritional Supplements,,,,8:02,,,,https://www.nutrex.com/,
iwi,D543 Nutritional Supplements,,,,1:03,,,,https://iwilife.com/,
usana,D543 Nutritional Supplements,,,,0:02,,,,https://www.usana.com/ux/dotcom/#!/enu-US/home,
ignite,D543 Nutritional Supplements,,,,7:03,,,,https://ignitenutrition.com/,
reaal,D543 Nutritional Supplements,,,,3:02,,,,https://reaal.tlcchealth.com/,
flyte,D543 Nutritional Supplements,,,,7:07,,,,https://flytesport.com/,
immunocal,D543 Nutritional Supplements,,,,4:04,,,,https://www.immunotec.com/,
berocca,D543 Nutritional Supplements,,,,5:02,,,,https://www.buyberocca.com/en/home/,
prevagen,D543 Nutritional Supplements,,,,4:05,,,,https://www.prevagen.com/,
cocoavia,D543 Nutritional Supplements,,,,0:01,,,,https://www.cocoavia.com/,
natrol,D543 Nutritional Supplements,,,,3:08,,,,https://www.natrol.com/,
esi,D543 Nutritional Supplements,,,,0:03,,,,https://www.esi-nutrition.com/en/,
glucerna,D543 Nutritional Supplements,,,,1:00,,,,https://glucerna.com/,
hims,D543 Nutritional Supplements,,,,6:00,,,,https://www.forhims.com/,
enu,D543 Nutritional Supplements,,,,7:06,,,,https://www.enu-nutrition.com/,
percepta,D543 Nutritional Supplements,,,,3:04,,,,http://www.percepta.com/,
enfagrow,D543 Nutritional Supplements,,,,0:07,,,,https://www.enfamil.ca/,
isagenix,D543 Nutritional Supplements,,,,2:03,,,,https://www.isagenix.com/en-us/,
hellolife,D543 Nutritional Supplements,,,,4:10,,,,https://www.hellolife.net/,
culturelle,D543 Nutritional Supplements,,,,6:07,,,,https://www.culturelle.com/,
estroven,D543 Nutritional Supplements,,,,0:09,,,,https://www.estroven.com/,
splenda,F113 Artificial Sweeteners,,,,3:03,,,,https://www.splenda.com/,
nutella,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,https://www.nutella.com/us/en/,
smuckers,F280 Peanut Butter & Sandwich Spreads,,,,1:00,,,,https://www.smuckers.com/,
maranatha,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,http://www.maranathafoods.com/,
deans,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:01,,,,http://www.deanfoods.com/,
kemps,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:02,,,,https://kemps.com/,
holanda,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://www.heladosholanda.com.mx/home.html,
